Year,Ward Code,Ward Name,Ward Zone,Issue Type,Sub Issue,Total Complaints,Complaints Closed,Complaints Open Pending,Closure Rate Pct,Avg Days To Resolve,Citizen Charter Days,Days Exceeded Charter,Escalation Level Reached,Data Source
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Roads,Broken Footpath,92,82,10,89.1,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Drainage,Drainage Choke / Blockage,160,133,27,83.1,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Drainage,Overflow / Flooding,88,73,15,83.0,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Drainage,Leaking Sewer Line,44,36,8,81.8,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Solid Waste Mgmt,Garbage Not Lifted,69,55,14,79.7,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Solid Waste Mgmt,Illegal Dumping / Debris,32,26,6,81.2,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Solid Waste Mgmt,Waste Burning,14,11,3,78.6,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Water Supply,Shortage of Water,79,69,10,87.3,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Water Supply,Water Contamination,25,22,3,88.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Water Supply,Leaking Water Pipeline,52,45,7,86.5,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Water Supply,Unauthorised Water Tapping,23,20,3,87.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Air Pollution,Construction Dust / Debris,6,5,1,83.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Air Pollution,Industrial Smoke / Emissions,5,4,1,80.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Street Lights,Street Light Not Working,68,64,4,94.1,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Trees,Tree Trimming Required,18,16,2,88.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Trees,Fallen / Dangerous Tree,8,7,1,87.5,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Buildings,Illegal Construction,22,13,9,59.1,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,C,Marine Lines / Girgaon / Chira Bazar,City,Toilets / Sanitation,Public Toilet Not Functional,18,15,3,83.3,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Roads,Bad Patches / Potholes,358,318,40,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Roads,Resurfacing of Road,145,128,17,88.3,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Roads,Broken Footpath,75,67,8,89.3,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Drainage,Drainage Choke / Blockage,131,109,22,83.2,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Drainage,Overflow / Flooding,72,59,13,81.9,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Drainage,Leaking Sewer Line,36,30,6,83.3,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Solid Waste Mgmt,Garbage Not Lifted,56,45,11,80.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Solid Waste Mgmt,Illegal Dumping / Debris,26,21,5,80.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Solid Waste Mgmt,Waste Burning,11,9,2,81.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Water Supply,Shortage of Water,65,56,9,86.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Water Supply,Water Contamination,21,18,3,85.7,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Water Supply,Leaking Water Pipeline,43,37,6,86.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Water Supply,Unauthorised Water Tapping,19,17,2,89.5,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Air Pollution,Construction Dust / Debris,5,4,1,80.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Air Pollution,Industrial Smoke / Emissions,4,4,0,100.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Street Lights,Street Light Not Working,56,52,4,92.9,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Trees,Tree Trimming Required,15,13,2,86.7,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Trees,Fallen / Dangerous Tree,6,6,0,100.0,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Buildings,Illegal Construction,18,11,7,61.1,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,D,Malabar Hill / Kemp's Corner,City,Toilets / Sanitation,Public Toilet Not Functional,15,13,2,86.7,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Roads,Bad Patches / Potholes,498,442,56,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Roads,Resurfacing of Road,201,178,23,88.6,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Roads,Broken Footpath,104,93,11,89.4,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Drainage,Drainage Choke / Blockage,182,151,31,83.0,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Drainage,Overflow / Flooding,99,82,17,82.8,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Drainage,Leaking Sewer Line,50,41,9,82.0,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Solid Waste Mgmt,Garbage Not Lifted,78,63,15,80.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Solid Waste Mgmt,Illegal Dumping / Debris,36,29,7,80.6,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Solid Waste Mgmt,Waste Burning,16,13,3,81.2,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Water Supply,Shortage of Water,90,78,12,86.7,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Water Supply,Water Contamination,29,25,4,86.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Water Supply,Leaking Water Pipeline,59,51,8,86.4,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Water Supply,Unauthorised Water Tapping,27,23,4,85.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Air Pollution,Construction Dust / Debris,7,6,1,85.7,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Air Pollution,Industrial Smoke / Emissions,6,5,1,83.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Street Lights,Street Light Not Working,78,72,6,92.3,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Trees,Tree Trimming Required,21,18,3,85.7,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Trees,Fallen / Dangerous Tree,9,8,1,88.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Buildings,Illegal Construction,24,15,9,62.5,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,E,Byculla / Agripada,City,Toilets / Sanitation,Public Toilet Not Functional,20,18,2,90.0,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Roads,Bad Patches / Potholes,498,442,56,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Roads,Resurfacing of Road,201,178,23,88.6,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Roads,Broken Footpath,104,93,11,89.4,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Drainage,Drainage Choke / Blockage,182,151,31,83.0,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Drainage,Overflow / Flooding,99,82,17,82.8,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Drainage,Leaking Sewer Line,50,41,9,82.0,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Solid Waste Mgmt,Garbage Not Lifted,78,63,15,80.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Solid Waste Mgmt,Illegal Dumping / Debris,36,29,7,80.6,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Solid Waste Mgmt,Waste Burning,16,13,3,81.2,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Water Supply,Shortage of Water,90,78,12,86.7,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Water Supply,Water Contamination,29,25,4,86.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Water Supply,Leaking Water Pipeline,59,51,8,86.4,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Water Supply,Unauthorised Water Tapping,27,23,4,85.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Air Pollution,Construction Dust / Debris,7,6,1,85.7,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Air Pollution,Industrial Smoke / Emissions,6,5,1,83.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Street Lights,Street Light Not Working,78,72,6,92.3,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Trees,Tree Trimming Required,21,18,3,85.7,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Trees,Fallen / Dangerous Tree,9,8,1,88.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Buildings,Illegal Construction,24,15,9,62.5,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/N,Sewri / Wadala North,City,Toilets / Sanitation,Public Toilet Not Functional,20,18,2,90.0,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Roads,Bad Patches / Potholes,597,530,67,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Roads,Resurfacing of Road,241,214,27,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Roads,Broken Footpath,125,111,14,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Drainage,Drainage Choke / Blockage,219,182,37,83.1,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Drainage,Overflow / Flooding,119,99,20,83.2,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Drainage,Leaking Sewer Line,60,50,10,83.3,18,7,11,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Solid Waste Mgmt,Garbage Not Lifted,94,76,18,80.9,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Solid Waste Mgmt,Illegal Dumping / Debris,44,35,9,79.5,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Solid Waste Mgmt,Waste Burning,19,15,4,78.9,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Water Supply,Shortage of Water,108,94,14,87.0,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Water Supply,Water Contamination,34,30,4,88.2,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Water Supply,Leaking Water Pipeline,71,62,9,87.3,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Water Supply,Unauthorised Water Tapping,32,28,4,87.5,8,7,1,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Air Pollution,Construction Dust / Debris,9,7,2,77.8,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Air Pollution,Industrial Smoke / Emissions,7,6,1,85.7,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Street Lights,Street Light Not Working,93,87,6,93.5,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Trees,Tree Trimming Required,25,22,3,88.0,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Trees,Fallen / Dangerous Tree,11,9,2,81.8,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Buildings,Illegal Construction,29,18,11,62.1,35,30,5,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,F/S,Parel / Lalbaug / Naigaon,City,Toilets / Sanitation,Public Toilet Not Functional,25,21,4,84.0,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,G/N,Dharavi / Sion,City,Roads,Bad Patches / Potholes,637,565,72,88.7,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,G/N,Dharavi / Sion,City,Roads,Resurfacing of Road,257,228,29,88.7,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2015,G/N,Dharavi / Sion,City,Roads,Broken Footpath,134,119,15,88.8,12,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
